iter	Passed	Remaining
740	27646	46973
741	27697	46958
742	27739	46928
743	27787	46910
744	27837	46893
745	27880	46866
746	27926	46843
747	27974	46823
748	28022	46803
749	28067	46779
750	28102	46737
751	28146	46711
752	28190	46684
753	28235	46658
754	28272	46621
755	28316	46595
756	28355	46560
757	28395	46527
758	28437	46496
759	28485	46476
760	28522	46437
761	28565	46409
762	28607	46379
763	28650	46351
764	28687	46313
765	28730	46284
766	28769	46248
767	28811	46219
768	28854	46189
769	28888	46146
770	28927	46111
771	28966	46075
772	29007	46044
773	29051	46017
774	29089	45980
775	29127	45944
776	29164	45905
777	29207	45876
778	29249	45845
779	29287	45808
780	29321	45764
781	29361	45731
782	29398	45693
783	29442	45665
784	29484	45634
785	29519	45593
786	29558	45559
787	29593	45516
788	29634	45484
789	29677	45455
790	29715	45417
791	29756	45385
792	29797	45354
793	29839	45323
794	29884	45297
795	29928	45267
796	29974	45243
797	30008	45200
798	30041	45156
799	30082	45123
800	30124	45092
801	30166	45061
802	30216	45042
803	30257	45010
804	30300	44980
805	30344	44952
806	30390	44926
807	30436	44901
808	30479	44871
809	30520	44838
810	30575	44826
811	30623	44803
812	30686	44802
813	30743	44792
814	30797	44779
815	30854	44769
816	30910	44757
817	30957	44733
818	31009	44715
819	31052	44685
820	31101	44663
821	31142	44629
822	31190	44606
823	31236	44579
824	31286	44559
825	31337	44539
826	31395	44530
827	31449	44516
828	31499	44494
829	31556	44483
830	31623	44485
831	31694	44494
832	31756	44489
833	31824	44493
834	31881	44480
835	31943	44476
836	31998	44460
837	32051	44444
838	32105	44427
839	32159	44410
840	32216	44397
841	32270	44381
842	32314	44350
843	32354	44315
844	32411	44301
845	32481	44306
846	32530	44282
847	32586	44268
848	32638	44248
849	32699	44240
850	32754	44224
851	32811	44210
852	32865	44193
853	32928	44187
854	33027	44230
855	33092	44226
856	33148	44210
857	33206	44197
858	33273	44196
859	33325	44175
860	33381	44159
861	33429	44132
862	33478	44108
863	33537	44095
864	33591	44076
865	33627	44034
866	33683	44018
867	33729	43987
868	33772	43954
869	33812	43917
870	33859	43888
871	33910	43866
872	33962	43844
873	34010	43816
874	34054	43783
875	34098	43752
876	34141	43717
877	34183	43682
878	34233	43657
879	34280	43630
880	34327	43601
881	34379	43577
882	34422	43544
883	34465	43510
884	34517	43487
885	34567	43462
886	34628	43452
887	34672	43418
888	34718	43388
889	34760	43352
890	34807	43324
891	34858	43299
892	34899	43263
893	35009	43311
894	35069	43298
895	35114	43265
896	35173	43250
897	35215	43215
898	35273	43198
899	35312	43160
900	35381	43156
901	35414	43109
902	35451	43067
903	35506	43047
904	35548	43011
905	35590	42976
906	35637	42945
907	35730	42970
908	35805	42974
909	35868	42962
910	35913	42930
911	35957	42896
912	35998	42859
913	36038	42820
914	36084	42788
915	36142	42771
916	36199	42752
917	36244	42719
918	36298	42696
919	36350	42672
920	36394	42638
921	36436	42600
922	36467	42551
923	36517	42525
924	36562	42492
925	36607	42458
926	36658	42431
927	36706	42402
928	36774	42395
929	36829	42373
930	36881	42347
931	36951	42343
932	36993	42306
933	37034	42268
934	37077	42232
935	37109	42184
936	37175	42174
937	37243	42166
938	37296	42141
939	37359	42128
940	37429	42122
941	37477	42092
942	37518	42053
943	37571	42029
944	37644	42026
945	37715	42021
946	37782	42011
947	37846	41997
948	37911	41985
949	37959	41955
950	38014	41931
951	38059	41897
952	38133	41894
953	38206	41890
954	38271	41878
955	38333	41862
956	38395	41845
957	38449	41820
958	38501	41793
959	38552	41765
960	38620	41754
961	38676	41732
962	38732	41709
963	38785	41682
964	38851	41669
965	38903	41642
966	38955	41614
967	39010	41589
968	39082	41583
969	39141	41562
970	39192	41534
971	39249	41511
972	39303	41484
973	39353	41454
974	39393	41413
975	39435	41375
976	39474	41333
977	39525	41304
978	39565	41263
979	39607	41224
980	39646	41182
981	39688	41143
982	39741	41116
983	39792	41086
984	39830	41043
985	39865	40997
986	39909	40960
987	39958	40928
988	40004	40894
989	40046	40855
990	40078	40806
991	40120	40767
992	40155	40721
993	40212	40698
994	40259	40664
995	40298	40622
996	40345	40587
997	40396	40558
998	40442	40523
999	40484	40484
1000	40556	40475
1001	40609	40447
1002	40659	40416
1003	40702	40377
1004	40742	40336
1005	40797	40310
1006	40843	40275
1007	40887	40238
1008	40928	40198
1009	40974	40163
1010	41018	40125
1011	41057	40083
1012	41098	40043
1013	41145	40009
1014	41189	39971
1015	41238	39939
1016	41282	39902
1017	41325	39864
1018	41381	39837
1019	41427	39802
1020	41464	39758
1021	41506	39719
1022	41562	39693
1023	41613	39662
1024	41661	39629
1025	41735	39619
1026	41778	39582
1027	41824	39545
1028	41867	39507
1029	41908	39467
1030	41949	39426
1031	42002	39397
1032	42047	39360
1033	42086	39318
1034	42125	39276
1035	42170	39240
1036	42226	39212
1037	42266	39172
1038	42308	39132
1039	42347	39089
1040	42395	39056
1041	42443	39021
1042	42505	39000
1043	42552	38965
1044	42593	38925
1045	42640	38890
1046	42684	38852
1047	42732	38818
1048	42773	38777
1049	42824	38746
1050	42861	38701
1051	42896	38656
1052	42930	38609
1053	42970	38567
1054	43016	38530
1055	43124	38551
1056	43236	38573
1057	43281	38536
1058	43323	38496
1059	43359	38450
1060	43400	38410
1061	43446	38373
1062	43502	38345
1063	43545	38307
1064	43585	38265
1065	43623	38221
1066	43678	38193
1067	43720	38152
1068	43764	38115
1069	43804	38072
1070	43847	38033
1071	43889	37994
1072	43934	37956
1073	43974	37915
1074	44013	37872
1075	44060	37836
1076	44112	37804
1077	44151	37761
1078	44203	37731
1079	44236	37682
1080	44292	37654
1081	44324	37606
1082	44383	37580
1083	44477	37584
1084	44513	37538
1085	44572	37513
1086	44682	37529
1087	44732	37496
1088	44811	37486
1089	44873	37462
1090	44939	37442
1091	44989	37409
1092	45051	37385
1093	45114	37361
1094	45186	37346
1095	45275	37344
1096	45314	37300
1097	45351	37255
1098	45410	37228
1099	45451	37187
1100	45503	37155
1101	45538	37108
1102	45577	37065
1103	45609	37016
1104	45651	36975
1105	45699	36940
1106	45731	36891
1107	45764	36843
1108	45806	36802
1109	45844	36757
1110	45895	36724
1111	45942	36688
1112	45980	36643
1113	46012	36595
1114	46058	36557
1115	46105	36520
1116	46137	36472
1117	46177	36429
1118	46216	36387
1119	46267	36353
1120	46320	36320
1121	46368	36285
1122	46413	36246
1123	46460	36209
1124	46519	36181
1125	46563	36142
1126	46607	36103
1127	46647	36060
1128	46713	36038
1129	46755	35997
1130	46807	35964
1131	46852	35925
1132	46908	35895
1133	46943	35848
1134	46984	35807
1135	47023	35764
1136	47072	35728
1137	47121	35692
1138	47154	35645
1139	47187	35597
1140	47224	35552
1141	47261	35508
1142	47316	35476
1143	47378	35451
1144	47441	35425
1145	47493	35392
1146	47536	35351
1147	47573	35306
1148	47605	35258
1149	47646	35216
1150	47713	35194
1151	47790	35179
1152	47837	35141
1153	47913	35125
1154	47963	35089
1155	48019	35059
1156	48062	35018
1157	48094	34970
1158	48128	34923
1159	48170	34881
1160	48202	34833
1161	48252	34798
1162	48291	34755
1163	48323	34706
1164	48356	34658
1165	48390	34611
1166	48431	34570
1167	48462	34521
1168	48493	34472
1169	48526	34424
1170	48558	34376
1171	48590	34328
1172	48631	34286
1173	48662	34237
1174	48694	34189
1175	48726	34141
1176	48757	34093
1177	48793	34047
1178	48834	34006
1179	48866	33958
1180	48903	33913
1181	48943	33871
1182	48978	33825
1183	49023	33786
1184	49060	33741
1185	49090	33692
1186	49123	33645
1187	49155	33597
1188	49188	33550
1189	49238	33515
1190	49278	33473
1191	49310	33425
1192	49352	33384
1193	49391	33340
1194	49436	33302
1195	49474	33258
1196	49512	33214
1197	49549	33170
1198	49587	33127
1199	49646	33097
1200	49687	33056
1201	49745	33025
1202	49798	32991
1203	49849	32956
1204	49892	32916
1205	49936	32876
1206	49968	32829
1207	50006	32785
1208	50054	32748
1209	50084	32700
1210	50121	32655
1211	50167	32617
1212	50211	32577
1213	50268	32546
1214	50306	32502
1215	50344	32459
1216	50379	32413
1217	50422	32372
1218	50472	32337
1219	50512	32294
1220	50550	32251
1221	50591	32209
1222	50640	32172
1223	50710	32149
1224	50750	32107
1225	50787	32063
1226	50824	32019
1227	50886	31990
1228	50926	31948
1229	50965	31905
1230	51010	31866
1231	51069	31835
1232	51101	31788
1233	51139	31744
1234	51178	31701
1235	51221	31660
1236	51273	31626
1237	51312	31583
1238	51354	31541
1239	51392	31498
1240	51439	31460
1241	51483	31420
1242	51522	31377
1243	51559	31333
1244	51600	31291
1245	51647	31253
1246	51702	31220
1247	51735	31173
1248	51766	31126
1249	51806	31083
1250	51843	31039
1251	51900	31007
1252	51940	30965
1253	51982	30924
1254	52016	30878
1255	52057	30836
1256	52111	30802
1257	52143	30755
1258	52186	30714
1259	52218	30667
1260	52257	30625
1261	52316	30594
1262	52357	30552
1263	52397	30509
1264	52438	30467
1265	52484	30429
1266	52538	30395
1267	52569	30347
1268	52607	30304
1269	52646	30261
1270	52698	30226
1271	52752	30191
1272	52789	30147
1273	52848	30116
1274	52883	30071
1275	52947	30042
1276	52992	30002
1277	53030	29959
1278	53067	29915
1279	53116	29878
1280	53157	29836
1281	53192	29790
1282	53229	29746
1283	53276	29708
1284	53327	29672
1285	53363	29628
1286	53404	29585
1287	53437	29540
1288	53477	29497
1289	53531	29463
1290	53580	29425
1291	53619	29382
1292	53662	29342
1293	53712	29305
1294	53749	29261
1295	53786	29217
1296	53831	29177
1297	53872	29136
1298	53911	29093
1299	53949	29049
1300	53987	29006
1301	54024	28962
1302	54064	28920
1303	54111	28881
1304	54155	28841
1305	54186	28794
1306	54226	28752
1307	54273	28713
1308	54309	28668
1309	54344	28623
1310	54390	28584
1311	54430	28542
1312	54497	28514
1313	54539	28473
1314	54570	28426
1315	54603	28380
1316	54643	28338
1317	54682	28295
1318	54730	28257
1319	54771	28215
1320	54816	28175
1321	54867	28139
1322	54922	28104
1323	54970	28066
1324	55012	28025
1325	55055	27984
1326	55108	27948
1327	55142	27903
1328	55175	27857
1329	55211	27813
1330	55276	27783
1331	55339	27752
1332	55389	27715
1333	55437	27676
1334	55482	27637
1335	55523	27595
1336	55582	27562
1337	55615	27516
1338	55654	27474
1339	55693	27431
1340	55739	27391
1341	55780	27349
1342	55813	27304
1343	55855	27263
1344	55885	27215
1345	55929	27175
1346	55985	27140
1347	56018	27095
1348	56078	27062
1349	56126	27023
1350	56182	26989
1351	56219	26945
1352	56259	26902
1353	56293	26857
1354	56334	26815
1355	56378	26775
1356	56416	26732
1357	56452	26688
1358	56485	26642
1359	56522	26599
1360	56569	26559
1361	56605	26515
1362	56637	26469
1363	56680	26428
1364	56711	26382
1365	56759	26343
1366	56799	26301
1367	56846	26262
1368	56897	26225
1369	56958	26192
1370	57011	26156
1371	57046	26111
1372	57081	26067
1373	57132	26029
1374	57170	25986
1375	57205	25942
1376	57305	25926
1377	57345	25884
1378	57386	25842
1379	57495	25831
1380	57665	25847
1381	57745	25822
1382	57794	25784
1383	57837	25742
1384	57876	25699
1385	57915	25656
1386	57971	25621
1387	58008	25577
1388	58047	25534
1389	58088	25492
1390	58147	25457
1391	58193	25417
1392	58236	25376
1393	58276	25333
1394	58318	25292
1395	58354	25247
1396	58405	25210
1397	58447	25168
1398	58476	25121
1399	58517	25078
1400	58564	25039
1401	58618	25002
1402	58652	24957
1403	58686	24912
1404	58717	24866
1405	58757	24823
1406	58810	24786
1407	58846	24742
1408	58878	24696
1409	58919	24654
1410	58959	24611
1411	59011	24574
1412	59054	24532
1413	59089	24488
1414	59127	24444
1415	59176	24406
1416	59221	24365
1417	59256	24320
1418	59292	24276
1419	59330	24233
1420	59366	24189
1421	59421	24152
1422	59458	24109
1423	59499	24067
1424	59537	24023
1425	59570	23978
1426	59627	23942
1427	59662	23898
1428	59700	23855
1429	59737	23811
1430	59781	23770
1431	59831	23732
1432	59864	23686
1433	59895	23640
1434	59934	23598
1435	59970	23553
1436	60035	23521
1437	60073	23477
1438	60111	23434
1439	60151	23392
1440	60209	23356
1441	60246	23313
1442	60284	23269
1443	60318	23224
1444	60353	23180
1445	60400	23140
1446	60436	23097
1447	60475	23054
1448	60518	23013
1449	60566	22973
1450	60645	22945
1451	60682	22902
1452	60720	22859
1453	60756	22814
1454	60827	22784
1455	60869	22742
1456	60932	22708
1457	60993	22673
1458	61054	22639
1459	61093	22596
1460	61152	22560
1461	61228	22531
1462	61277	22492
1463	61356	22463
1464	61424	22431
1465	61467	22390
1466	61507	22347
1467	61545	22304
1468	61587	22262
1469	61624	22218
1470	61659	22174
1471	61698	22131
1472	61736	22087
1473	61788	22049
1474	61825	22005
1475	61865	21963
1476	61898	21917
1477	61943	21877
1478	61987	21835
1479	62048	21800
1480	62098	21761
1481	62164	21728
1482	62199	21683
1483	62236	21640
1484	62279	21598
1485	62317	21555
1486	62355	21512
1487	62407	21473
1488	62447	21430
1489	62489	21389
1490	62517	21342
1491	62551	21297
1492	62596	21256
1493	62636	21214
1494	62674	21171
1495	62709	21126
1496	62751	21084
1497	62794	21043
1498	62833	21000
1499	62869	20956
1500	62905	20912
1501	62938	20867
